dataset,sta,freq_hz,snr
main,A04F,0.2402,720.847
main,A04F,0.2472,860.835
main,A04F,0.2545,907.599
main,A04F,0.2619,798.731
main,A04F,0.2696,795.125
main,A04F,0.2775,803.425
main,A04F,0.2857,842.329
main,A04F,0.2940,905.852
main,A04F,0.3027,1001.295
main,A04F,0.3115,1081.492
main,A04F,0.3207,963.007
main,A04F,0.3301,945.909
main,A04F,0.3397,902.285
main,A04F,0.3497,977.640
main,A04F,0.3600,1037.620
main,A04F,0.3705,1123.276
main,A04F,0.3814,1210.679
main,A04F,0.3926,1099.188
main,A04F,0.4041,1147.941
main,A04F,0.4159,1380.258
main,A04F,0.4281,1506.017
main,A04F,0.4407,1533.597
main,A04F,0.4536,1772.383
main,A04F,0.4669,2078.845
main,A04F,0.4806,2282.498
main,A04F,0.4947,2217.385
main,A04F,0.5092,2354.300
main,A04F,0.5241,2659.026
main,A04F,0.5395,2962.829
main,A04F,0.5553,3059.195
main,A04F,0.5716,2853.140
main,A04F,0.5884,2937.693
main,A04F,0.6056,2687.257
main,A04F,0.6234,2677.324
main,A04F,0.6417,2867.249
main,A04F,0.6605,2645.041
main,A04F,0.6798,2440.348
main,A04F,0.6998,2370.331
main,A04F,0.7203,2061.543
main,A04F,0.7414,1972.881
main,A04F,0.7632,2219.742
main,A04F,0.7855,2612.429
main,A04F,0.8086,3222.615
main,A04F,0.8323,3830.655
main,A04F,0.8567,4175.797
main,A04F,0.8818,4248.254
main,A04F,0.9077,4286.681
main,A04F,0.9343,4379.490
main,A04F,0.9617,4720.576
main,A04F,0.9899,4801.396
main,A04F,1.0189,4668.167
main,A04F,1.0488,4464.402
main,A04F,1.0796,4014.470
main,A04F,1.1112,4059.688
main,A04F,1.1438,4422.091
main,A04F,1.1773,4554.908
main,A04F,1.2119,4796.555
main,A04F,1.2474,4443.047
main,A04F,1.2840,4638.819
main,A04F,1.3216,4984.031
main,A04F,1.3604,5245.836
main,A04F,1.4003,5307.474
main,A04F,1.4414,5446.930
main,A04F,1.4836,5228.554
main,A04F,1.5271,5648.543
main,A04F,1.5719,6084.867
main,A04F,1.6180,6248.474
main,A04F,1.6655,6643.325
main,A04F,1.7143,6155.720
main,A04F,1.7646,6221.072
main,A04F,1.8163,5986.511
main,A04F,1.8696,5836.806
main,A04F,1.9244,5523.588
main,A04F,1.9808,5408.784
main,A04F,2.0389,4978.797
main,A04F,2.0987,4900.271
main,A04F,2.1602,4551.884
main,A04F,2.2236,4635.616
main,A04F,2.2888,4992.869
main,A04F,2.3559,4970.139
main,A04F,2.4250,5196.972
main,A04F,2.4961,5014.316
main,A04F,2.5693,5273.079
main,A04F,2.6447,5884.313
main,A04F,2.7222,5632.236
main,A04F,2.8020,5891.499
main,A04F,2.8842,5948.256
main,A04F,2.9688,5813.127
main,A04F,3.0558,5833.879
main,A04F,3.1454,6120.295
main,A04F,3.2377,6164.803
main,A04F,3.3326,6628.653
main,A04F,3.4304,6483.065
main,A04F,3.5310,6613.975
main,A04F,3.6345,6401.428
main,A04F,3.7411,6720.695
main,A04F,3.8508,6629.951
main,A04F,3.9637,6315.866
main,A04F,4.0799,6111.755
main,A04F,4.1996,5918.050
main,A04F,4.3227,5664.197
main,A04F,4.4495,5324.036
main,A04F,4.5800,5289.412
main,A04F,4.7143,4935.048
main,A04F,4.8525,4889.248
main,A04F,4.9948,4851.537
main,A04F,5.1413,4818.361
main,A04F,5.2921,5085.186
main,A04F,5.4472,5391.983
main,A04F,5.6070,5485.732
main,A04F,5.7714,5489.581
main,A04F,5.9406,5386.385
main,A04F,6.1148,5296.056
main,A04F,6.2942,5415.719
main,A04F,6.4787,5453.375
main,A04F,6.6687,5315.804
main,A04F,6.8643,5280.251
main,A04F,7.0656,5032.612
main,A04F,7.2728,5145.157
main,A04F,7.4860,5486.390
main,A04F,7.7056,5490.407
main,A04F,7.9315,5525.650
main,A04F,8.1641,5540.122
main,A04F,8.4035,5580.799
main,A04F,8.6499,5531.745
main,A04F,8.9036,5195.493
main,A04F,9.1647,4898.282
main,A04F,9.4334,4783.066
main,A04F,9.7101,4597.704
main,A04F,9.9948,4528.692
main,A04F,10.2879,4355.937
main,A04F,10.5896,4160.753
main,A04F,10.9001,3918.296
main,A04F,11.2198,3712.469
main,A04F,11.5488,3548.928
main,A04F,11.8874,3452.749
main,A04F,12.2360,3145.468
main,A04F,12.5949,2828.150
main,A04F,12.9642,2366.970
main,A04F,13.3444,2083.378
main,A04F,13.7357,1787.097
main,A04F,14.1385,1423.663
main,A04F,14.5531,1367.804
main,A04F,14.9798,1339.818
main,A04F,15.4191,1113.018
main,A04F,15.8713,886.582
main,A04F,16.3367,799.897
main,A04F,16.8157,789.140
main,A04F,17.3089,701.257
main,A04F,17.8164,553.763
main,A04F,18.3389,397.609
main,A04F,18.8767,319.849
main,A04F,19.4302,192.155
main,A04F,20.0000,159.347
main,A05F,0.0200,31.148
main,A05F,0.0206,31.148
main,A05F,0.0318,74.979
main,A05F,0.0327,74.979
main,A05F,0.0336,74.979
main,A05F,0.0346,74.979
main,A05F,0.0357,74.979
main,A05F,0.0367,74.979
main,A05F,0.0389,108.773
main,A05F,0.0400,108.773
